edad,tipo_trabajo,estado_civil,nivel_educativo,incumplimiento_pago,saldo_promedio_anual,credito_hipotecario,credito_consumo,medio_contacto,dia_contacto,mes_contacto,duracion_contacto,num_contactos_campania,dias_desde_contacto_previo,num_contactos_previos,resultado_campania_previa,suscripcion_deposito
32,gerencia,casado,superior,no,0.0,si,no,desconocido,5,mayo,179.0,1,-1.0,0,desconocido,no
42,,soltero,secundaria,no,-76.0,si,no,desconocido,5,mayo,787.0,1,-1.0,0,desconocido,no
24,tecnico,soltero,secundaria,no,-103.0,si,si,desconocido,5,mayo,145.0,1,-1.0,0,desconocido,no
38,emprendedor,soltero,superior,no,243.0,no,si,desconocido,5,mayo,174.0,1,-1.0,0,desconocido,no
38,gerencia,soltero,superior,no,424.0,si,no,desconocido,5,mayo,104.0,1,-1.0,0,desconocido,no
47,obrero,casado,desconocido,no,306.0,si,no,desconocido,5,mayo,13.0,1,-1.0,0,desconocido,no
40,obrero,soltero,desconocido,no,24.0,si,no,desconocido,5,mayo,185.0,1,-1.0,0,desconocido,no
46,servicios,casado,primaria,no,179.0,si,no,desconocido,5,mayo,1778.0,1,-1.0,0,desconocido,no
32,,casado,superior,no,0.0,si,no,desconocido,5,mayo,138.0,1,-1.0,0,desconocido,no
53,tecnico,divorciado,secundaria,no,989.0,si,no,desconocido,5,mayo,812.0,1,-1.0,0,desconocido,no
57,obrero,casado,primaria,no,249.0,si,no,desconocido,5,mayo,164.0,1,-1.0,0,desconocido,no
33,servicios,casado,secundaria,no,790.0,si,no,desconocido,5,mayo,391.0,1,-1.0,0,desconocido,no
49,obrero,casado,desconocido,no,154.0,si,no,desconocido,5,mayo,357.0,1,-1.0,0,desconocido,no
51,gerencia,casado,superior,no,6530.0,si,no,desconocido,5,mayo,91.0,1,-1.0,0,desconocido,no
60,jubilado,casado,superior,no,100.0,no,no,desconocido,5,mayo,528.0,1,-1.0,0,desconocido,no
59,gerencia,divorciado,superior,no,59.0,si,no,desconocido,5,mayo,273.0,1,-1.0,0,desconocido,no
55,tecnico,casado,secundaria,no,1205.0,si,no,desconocido,5,mayo,158.0,2,-1.0,0,desconocido,no
35,obrero,soltero,secundaria,no,12223.0,si,si,desconocido,5,mayo,177.0,1,-1.0,0,desconocido,no
57,obrero,casado,secundaria,no,5935.0,si,si,desconocido,5,mayo,258.0,1,-1.0,0,desconocido,no
31,servicios,casado,secundaria,no,25.0,si,si,desconocido,5,mayo,172.0,1,-1.0,0,desconocido,no
54,gerencia,casado,secundaria,no,282.0,si,si,desconocido,5,mayo,154.0,1,-1.0,0,desconocido,no
55,obrero,casado,primaria,no,23.0,si,no,desconocido,5,mayo,291.0,1,-1.0,0,desconocido,no
43,tecnico,casado,secundaria,no,1937.0,si,no,desconocido,5,mayo,181.0,1,-1.0,0,desconocido,no
53,tecnico,casado,secundaria,no,384.0,si,no,desconocido,5,mayo,176.0,1,-1.0,0,desconocido,no
44,obrero,casado,secundaria,no,582.0,no,si,desconocido,5,mayo,211.0,1,-1.0,0,desconocido,no
55,servicios,divorciado,secundaria,no,91.0,no,no,desconocido,5,mayo,349.0,1,-1.0,0,desconocido,no
49,servicios,divorciado,secundaria,no,0.0,si,si,desconocido,5,mayo,272.0,1,-1.0,0,desconocido,no
55,servicios,divorciado,secundaria,si,1.0,si,no,desconocido,5,mayo,208.0,1,-1.0,0,desconocido,no
45,,soltero,secundaria,no,206.0,si,no,desconocido,5,mayo,193.0,1,-1.0,0,desconocido,no
47,servicios,divorciado,secundaria,no,164.0,no,no,desconocido,5,mayo,212.0,1,-1.0,0,desconocido,no
42,tecnico,soltero,secundaria,no,690.0,si,no,desconocido,5,mayo,20.0,1,-1.0,0,desconocido,no
59,,casado,secundaria,no,2343.0,si,no,desconocido,5,mayo,1042.0,1,-1.0,0,desconocido,si
46,independiente,casado,superior,no,137.0,si,si,desconocido,5,mayo,246.0,1,-1.0,0,desconocido,no
51,obrero,casado,primaria,no,173.0,si,no,desconocido,5,mayo,529.0,2,-1.0,0,desconocido,no
56,,casado,secundaria,no,45.0,no,no,desconocido,5,mayo,1467.0,1,-1.0,0,desconocido,si
46,gerencia,divorciado,secundaria,no,16.0,si,si,desconocido,5,mayo,188.0,2,-1.0,0,desconocido,no
57,jubilado,casado,secundaria,no,486.0,si,no,desconocido,5,mayo,180.0,2,-1.0,0,desconocido,no
42,gerencia,soltero,secundaria,no,50.0,no,no,desconocido,5,mayo,48.0,1,-1.0,0,desconocido,no
30,tecnico,casado,secundaria,no,152.0,si,si,desconocido,5,mayo,213.0,2,-1.0,0,desconocido,no
60,,casado,secundaria,no,290.0,si,no,desconocido,5,mayo,583.0,1,-1.0,0,desconocido,no
60,obrero,casado,desconocido,no,54.0,si,no,desconocido,5,mayo,221.0,1,-1.0,0,desconocido,no
57,emprendedor,divorciado,secundaria,no,-37.0,no,no,desconocido,5,mayo,173.0,1,-1.0,0,desconocido,no
36,gerencia,casado,superior,no,101.0,si,si,desconocido,5,mayo,426.0,1,-1.0,0,desconocido,no
55,obrero,casado,secundaria,no,383.0,no,no,desconocido,5,mayo,287.0,1,-1.0,0,desconocido,no
60,jubilado,casado,superior,no,81.0,si,no,desconocido,5,mayo,101.0,1,-1.0,0,desconocido,no
39,tecnico,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,203.0,1,-1.0,0,desconocido,no
46,gerencia,casado,superior,no,229.0,si,no,desconocido,5,mayo,197.0,1,-1.0,0,desconocido,no
44,obrero,casado,secundaria,no,-674.0,si,no,desconocido,5,mayo,257.0,1,-1.0,0,desconocido,no
53,obrero,casado,primaria,no,90.0,no,no,desconocido,5,mayo,124.0,1,-1.0,0,desconocido,no
52,obrero,casado,primaria,no,128.0,si,no,desconocido,5,mayo,229.0,1,-1.0,0,desconocido,no
59,obrero,casado,primaria,no,179.0,si,no,desconocido,5,mayo,55.0,3,-1.0,0,desconocido,no
27,tecnico,soltero,superior,no,0.0,si,no,desconocido,5,mayo,400.0,1,-1.0,0,desconocido,no
44,obrero,casado,secundaria,no,54.0,si,no,desconocido,5,mayo,197.0,1,-1.0,0,desconocido,no
47,tecnico,casado,superior,no,151.0,si,no,desconocido,5,mayo,190.0,1,-1.0,0,desconocido,no
34,,casado,secundaria,no,61.0,no,si,desconocido,5,mayo,21.0,1,-1.0,0,desconocido,no
59,jubilado,soltero,secundaria,no,30.0,si,no,desconocido,5,mayo,514.0,1,-1.0,0,desconocido,no
45,gerencia,casado,superior,no,523.0,si,no,desconocido,5,mayo,849.0,2,-1.0,0,desconocido,no
29,servicios,divorciado,secundaria,no,31.0,si,no,desconocido,5,mayo,194.0,1,-1.0,0,desconocido,no
46,tecnico,divorciado,secundaria,no,79.0,no,no,desconocido,5,mayo,144.0,1,-1.0,0,desconocido,no
56,independiente,casado,primaria,no,-34.0,si,si,desconocido,5,mayo,212.0,2,-1.0,0,desconocido,no
36,obrero,casado,primaria,no,448.0,si,no,desconocido,5,mayo,286.0,1,-1.0,0,desconocido,no
59,jubilado,divorciado,primaria,no,81.0,si,no,desconocido,5,mayo,107.0,1,-1.0,0,desconocido,no
44,obrero,casado,secundaria,no,144.0,si,no,desconocido,5,mayo,247.0,2,-1.0,0,desconocido,no
41,,casado,secundaria,no,351.0,si,no,desconocido,5,mayo,518.0,1,-1.0,0,desconocido,no
33,gerencia,soltero,superior,no,-67.0,si,no,desconocido,5,mayo,364.0,1,-1.0,0,desconocido,no
59,gerencia,divorciado,superior,no,262.0,no,no,desconocido,5,mayo,178.0,1,-1.0,0,desconocido,no
57,tecnico,casado,primaria,no,0.0,no,no,desconocido,5,mayo,98.0,1,-1.0,0,desconocido,no
56,tecnico,divorciado,desconocido,no,56.0,si,no,desconocido,5,mayo,439.0,1,-1.0,0,desconocido,no
51,obrero,casado,secundaria,no,26.0,si,no,desconocido,5,mayo,79.0,1,-1.0,0,desconocido,no
34,,casado,desconocido,no,3.0,si,no,desconocido,5,mayo,120.0,3,-1.0,0,desconocido,no
43,servicios,casado,secundaria,no,41.0,si,si,desconocido,5,mayo,127.0,2,-1.0,0,desconocido,no
52,tecnico,casado,superior,no,7.0,no,si,desconocido,5,mayo,175.0,1,-1.0,0,desconocido,no
33,tecnico,soltero,secundaria,no,105.0,si,no,desconocido,5,mayo,262.0,2,-1.0,0,desconocido,no
29,,soltero,secundaria,no,818.0,si,si,desconocido,5,mayo,61.0,1,-1.0,0,desconocido,no
34,servicios,casado,secundaria,no,-16.0,si,si,desconocido,5,mayo,78.0,1,-1.0,0,desconocido,no
31,obrero,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,143.0,1,-1.0,0,desconocido,no
55,servicios,casado,secundaria,no,2476.0,si,no,desconocido,5,mayo,579.0,1,-1.0,0,desconocido,si
55,gerencia,casado,desconocido,no,1185.0,no,no,desconocido,5,mayo,677.0,1,-1.0,0,desconocido,no
32,,soltero,secundaria,no,217.0,si,no,desconocido,5,mayo,345.0,1,-1.0,0,desconocido,no
38,tecnico,soltero,secundaria,no,1685.0,si,no,desconocido,5,mayo,185.0,1,-1.0,0,desconocido,no
55,,soltero,secundaria,no,802.0,si,si,desconocido,5,mayo,100.0,2,-1.0,0,desconocido,no
28,desempleado,soltero,superior,no,0.0,si,no,desconocido,5,mayo,125.0,2,-1.0,0,desconocido,no
23,obrero,casado,secundaria,no,94.0,si,no,desconocido,5,mayo,193.0,1,-1.0,0,desconocido,no
32,tecnico,soltero,secundaria,no,0.0,si,no,desconocido,5,mayo,136.0,1,-1.0,0,desconocido,no
43,servicios,soltero,desconocido,no,0.0,no,no,desconocido,5,mayo,73.0,1,-1.0,0,desconocido,no
32,obrero,casado,secundaria,no,517.0,si,no,desconocido,5,mayo,528.0,1,-1.0,0,desconocido,no
46,obrero,casado,secundaria,no,265.0,si,no,desconocido,5,mayo,541.0,1,-1.0,0,desconocido,no
53,empleada_hogar,divorciado,primaria,no,947.0,si,no,desconocido,5,mayo,163.0,1,-1.0,0,desconocido,no
34,independiente,soltero,secundaria,no,3.0,si,no,desconocido,5,mayo,301.0,1,-1.0,0,desconocido,no
57,desempleado,casado,superior,no,42.0,no,no,desconocido,5,mayo,46.0,1,-1.0,0,desconocido,no
37,obrero,casado,secundaria,no,37.0,si,no,desconocido,5,mayo,204.0,1,-1.0,0,desconocido,no
59,obrero,casado,secundaria,no,57.0,si,no,desconocido,5,mayo,98.0,1,-1.0,0,desconocido,no
33,servicios,casado,secundaria,no,22.0,si,no,desconocido,5,mayo,71.0,1,-1.0,0,desconocido,no
56,obrero,divorciado,primaria,no,8.0,si,no,desconocido,5,mayo,157.0,2,-1.0,0,desconocido,no
48,desempleado,casado,secundaria,no,293.0,si,no,desconocido,5,mayo,243.0,1,-1.0,0,desconocido,no
43,servicios,casado,primaria,no,3.0,si,no,desconocido,5,mayo,186.0,2,-1.0,0,desconocido,no
54,obrero,casado,primaria,no,348.0,si,no,desconocido,5,mayo,579.0,2,-1.0,0,desconocido,no
51,obrero,casado,desconocido,no,-19.0,si,no,desconocido,5,mayo,163.0,2,-1.0,0,desconocido,no
26,estudiante,soltero,secundaria,no,0.0,si,no,desconocido,5,mayo,610.0,2,-1.0,0,desconocido,no
40,gerencia,casado,superior,no,-4.0,si,no,desconocido,5,mayo,2033.0,1,-1.0,0,desconocido,no
39,gerencia,casado,secundaria,no,18.0,si,no,desconocido,5,mayo,85.0,1,-1.0,0,desconocido,no
50,tecnico,casado,primaria,no,139.0,no,no,desconocido,5,mayo,114.0,2,-1.0,0,desconocido,no
41,servicios,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,114.0,2,-1.0,0,desconocido,no
51,obrero,casado,desconocido,no,1883.0,si,no,desconocido,5,mayo,57.0,1,-1.0,0,desconocido,no
60,jubilado,divorciado,secundaria,no,216.0,si,no,desconocido,5,mayo,238.0,1,-1.0,0,desconocido,no
52,obrero,casado,secundaria,no,782.0,si,no,desconocido,5,mayo,93.0,3,-1.0,0,desconocido,no
48,obrero,casado,secundaria,no,904.0,si,no,desconocido,5,mayo,128.0,2,-1.0,0,desconocido,no
48,servicios,casado,desconocido,no,1705.0,si,no,desconocido,5,mayo,107.0,1,-1.0,0,desconocido,no
39,tecnico,soltero,superior,no,47.0,si,no,desconocido,5,mayo,181.0,1,-1.0,0,desconocido,no
47,servicios,soltero,secundaria,no,176.0,si,no,desconocido,5,mayo,303.0,2,-1.0,0,desconocido,no
40,obrero,casado,secundaria,no,1225.0,si,no,desconocido,5,mayo,558.0,5,-1.0,0,desconocido,no
45,tecnico,casado,secundaria,no,86.0,si,no,desconocido,5,mayo,270.0,1,-1.0,0,desconocido,no
26,,soltero,secundaria,no,82.0,si,no,desconocido,5,mayo,228.0,1,-1.0,0,desconocido,no
52,gerencia,casado,superior,no,271.0,si,no,desconocido,5,mayo,99.0,1,-1.0,0,desconocido,no
54,tecnico,casado,secundaria,no,1378.0,si,no,desconocido,5,mayo,240.0,1,-1.0,0,desconocido,no
54,,casado,superior,no,184.0,no,no,desconocido,5,mayo,673.0,2,-1.0,0,desconocido,si
50,obrero,casado,primaria,no,0.0,no,no,desconocido,5,mayo,233.0,3,-1.0,0,desconocido,no
35,obrero,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,1056.0,1,-1.0,0,desconocido,no
44,servicios,casado,secundaria,no,1357.0,si,si,desconocido,5,mayo,250.0,1,-1.0,0,desconocido,no
53,emprendedor,casado,desconocido,no,19.0,si,no,desconocido,5,mayo,252.0,1,-1.0,0,desconocido,no
35,jubilado,soltero,primaria,no,434.0,no,no,desconocido,5,mayo,138.0,1,-1.0,0,desconocido,no
60,,divorciado,secundaria,no,92.0,si,no,desconocido,5,mayo,130.0,1,-1.0,0,desconocido,no
53,,divorciado,secundaria,no,1151.0,si,no,desconocido,5,mayo,412.0,1,-1.0,0,desconocido,no
48,desempleado,casado,secundaria,no,41.0,si,no,desconocido,5,mayo,179.0,2,-1.0,0,desconocido,no
34,tecnico,casado,secundaria,no,51.0,si,no,desconocido,5,mayo,19.0,2,-1.0,0,desconocido,no
54,servicios,casado,secundaria,no,214.0,si,no,desconocido,5,mayo,458.0,2,-1.0,0,desconocido,no
51,gerencia,casado,secundaria,no,1161.0,si,no,desconocido,5,mayo,717.0,1,-1.0,0,desconocido,no
31,servicios,casado,superior,no,37.0,si,no,desconocido,5,mayo,313.0,1,-1.0,0,desconocido,no
35,tecnico,divorciado,secundaria,no,787.0,si,no,desconocido,5,mayo,683.0,2,-1.0,0,desconocido,no
35,servicios,casado,secundaria,no,59.0,si,no,desconocido,5,mayo,1077.0,1,-1.0,0,desconocido,no
38,tecnico,casado,secundaria,no,253.0,si,no,desconocido,5,mayo,416.0,1,-1.0,0,desconocido,no
36,,casado,superior,no,211.0,si,no,desconocido,5,mayo,146.0,2,-1.0,0,desconocido,no
58,jubilado,casado,primaria,no,235.0,si,no,desconocido,5,mayo,167.0,1,-1.0,0,desconocido,no
40,servicios,divorciado,desconocido,no,4384.0,si,no,desconocido,5,mayo,315.0,1,-1.0,0,desconocido,no
54,gerencia,casado,secundaria,no,4080.0,no,no,desconocido,5,mayo,140.0,1,-1.0,0,desconocido,no
34,obrero,soltero,secundaria,no,53.0,si,si,desconocido,5,mayo,346.0,1,-1.0,0,desconocido,no
31,gerencia,soltero,superior,no,0.0,si,no,desconocido,5,mayo,562.0,1,-1.0,0,desconocido,no
51,jubilado,casado,secundaria,no,2127.0,si,no,desconocido,5,mayo,172.0,1,-1.0,0,desconocido,no
33,gerencia,casado,superior,no,377.0,si,no,desconocido,5,mayo,217.0,1,-1.0,0,desconocido,no
55,gerencia,casado,superior,no,73.0,si,no,desconocido,5,mayo,142.0,2,-1.0,0,desconocido,no
42,,casado,secundaria,no,445.0,si,no,desconocido,5,mayo,67.0,1,-1.0,0,desconocido,no
34,obrero,casado,secundaria,no,243.0,si,no,desconocido,5,mayo,291.0,1,-1.0,0,desconocido,no
33,obrero,soltero,secundaria,no,307.0,si,no,desconocido,5,mayo,309.0,2,-1.0,0,desconocido,no
38,servicios,casado,secundaria,no,155.0,si,no,desconocido,5,mayo,248.0,1,-1.0,0,desconocido,no
50,tecnico,divorciado,superior,no,173.0,no,si,desconocido,5,mayo,98.0,1,-1.0,0,desconocido,no
43,gerencia,casado,superior,no,400.0,si,no,desconocido,5,mayo,256.0,1,-1.0,0,desconocido,no
61,obrero,divorciado,primaria,no,1428.0,si,no,desconocido,5,mayo,82.0,2,-1.0,0,desconocido,no
47,,casado,secundaria,no,219.0,si,no,desconocido,5,mayo,577.0,1,-1.0,0,desconocido,no
48,independiente,casado,superior,no,7.0,si,no,desconocido,5,mayo,286.0,1,-1.0,0,desconocido,no
44,obrero,casado,secundaria,no,575.0,si,no,desconocido,5,mayo,477.0,1,-1.0,0,desconocido,no
35,estudiante,soltero,desconocido,no,298.0,si,no,desconocido,5,mayo,611.0,2,-1.0,0,desconocido,no
35,servicios,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,471.0,1,-1.0,0,desconocido,no
50,servicios,casado,secundaria,no,5699.0,si,no,desconocido,5,mayo,381.0,2,-1.0,0,desconocido,no
41,gerencia,casado,superior,no,176.0,si,si,desconocido,5,mayo,42.0,1,-1.0,0,desconocido,no
41,gerencia,casado,superior,no,517.0,si,no,desconocido,5,mayo,251.0,1,-1.0,0,desconocido,no
39,servicios,soltero,desconocido,no,257.0,si,no,desconocido,5,mayo,408.0,1,-1.0,0,desconocido,no
42,jubilado,casado,secundaria,no,56.0,si,no,desconocido,5,mayo,215.0,1,-1.0,0,desconocido,no
38,obrero,casado,secundaria,no,-390.0,si,no,desconocido,5,mayo,287.0,1,-1.0,0,desconocido,no
53,jubilado,casado,secundaria,no,330.0,si,no,desconocido,5,mayo,216.0,2,-1.0,0,desconocido,no
59,empleada_hogar,divorciado,primaria,no,195.0,no,no,desconocido,5,mayo,366.0,2,-1.0,0,desconocido,no
36,servicios,casado,secundaria,no,301.0,si,no,desconocido,5,mayo,210.0,1,-1.0,0,desconocido,no
54,obrero,casado,primaria,no,-41.0,si,no,desconocido,5,mayo,288.0,1,-1.0,0,desconocido,no
40,tecnico,casado,superior,no,483.0,si,no,desconocido,5,mayo,168.0,1,-1.0,0,desconocido,no
47,desconocido,casado,desconocido,no,28.0,no,no,desconocido,5,mayo,338.0,2,-1.0,0,desconocido,no
53,desempleado,casado,desconocido,no,13.0,no,no,desconocido,5,mayo,410.0,3,-1.0,0,desconocido,no
46,empleada_hogar,casado,primaria,no,965.0,no,no,desconocido,5,mayo,177.0,1,-1.0,0,desconocido,no
39,gerencia,casado,superior,no,378.0,si,si,desconocido,5,mayo,127.0,2,-1.0,0,desconocido,no
40,desempleado,casado,secundaria,no,219.0,si,no,desconocido,5,mayo,357.0,1,-1.0,0,desconocido,no
28,obrero,casado,primaria,no,324.0,si,no,desconocido,5,mayo,175.0,1,-1.0,0,desconocido,no
35,emprendedor,divorciado,secundaria,no,-69.0,si,no,desconocido,5,mayo,300.0,1,-1.0,0,desconocido,no
55,jubilado,casado,secundaria,no,0.0,no,si,desconocido,5,mayo,136.0,1,-1.0,0,desconocido,no
43,tecnico,divorciado,desconocido,no,205.0,si,no,desconocido,5,mayo,1419.0,1,-1.0,0,desconocido,no
48,obrero,casado,primaria,no,278.0,si,no,desconocido,5,mayo,125.0,2,-1.0,0,desconocido,no
58,gerencia,casado,desconocido,no,1065.0,si,no,desconocido,5,mayo,213.0,3,-1.0,0,desconocido,no
33,gerencia,soltero,superior,no,34.0,si,no,desconocido,5,mayo,27.0,1,-1.0,0,desconocido,no
36,obrero,casado,desconocido,no,1033.0,no,no,desconocido,5,mayo,238.0,2,-1.0,0,desconocido,no
47,obrero,casado,primaria,no,-12.0,si,no,desconocido,5,mayo,18.0,1,-1.0,0,desconocido,no
31,servicios,casado,secundaria,no,388.0,si,no,desconocido,5,mayo,730.0,2,-1.0,0,desconocido,no
57,emprendedor,casado,secundaria,no,294.0,si,no,desconocido,5,mayo,746.0,2,-1.0,0,desconocido,no
53,obrero,casado,desconocido,no,1827.0,no,no,desconocido,5,mayo,121.0,1,-1.0,0,desconocido,no
55,obrero,casado,primaria,no,627.0,si,no,desconocido,5,mayo,247.0,1,-1.0,0,desconocido,no
45,obrero,casado,primaria,no,25.0,si,no,desconocido,5,mayo,40.0,1,-1.0,0,desconocido,no
53,,divorciado,secundaria,no,315.0,si,no,desconocido,5,mayo,181.0,2,-1.0,0,desconocido,no
37,obrero,casado,primaria,no,0.0,si,no,desconocido,5,mayo,79.0,1,-1.0,0,desconocido,no
44,,divorciado,secundaria,no,66.0,si,no,desconocido,5,mayo,206.0,1,-1.0,0,desconocido,no
49,obrero,divorciado,primaria,no,-9.0,si,si,desconocido,5,mayo,389.0,1,-1.0,0,desconocido,no
46,tecnico,casado,secundaria,no,349.0,si,si,desconocido,5,mayo,127.0,1,-1.0,0,desconocido,no
43,emprendedor,casado,desconocido,no,100.0,si,no,desconocido,5,mayo,702.0,1,-1.0,0,desconocido,no
38,,casado,secundaria,no,0.0,no,no,desconocido,5,mayo,151.0,1,-1.0,0,desconocido,no
43,tecnico,casado,secundaria,no,434.0,si,no,desconocido,5,mayo,117.0,1,-1.0,0,desconocido,no
49,gerencia,casado,superior,no,3237.0,si,no,desconocido,5,mayo,232.0,3,-1.0,0,desconocido,no
42,gerencia,casado,desconocido,no,275.0,no,no,desconocido,5,mayo,408.0,2,-1.0,0,desconocido,no
22,obrero,soltero,secundaria,no,0.0,si,no,desconocido,5,mayo,179.0,2,-1.0,0,desconocido,no
40,gerencia,casado,superior,no,207.0,si,no,desconocido,5,mayo,39.0,1,-1.0,0,desconocido,no
39,obrero,casado,secundaria,no,483.0,si,no,desconocido,5,mayo,282.0,1,-1.0,0,desconocido,no
51,servicios,casado,secundaria,no,2248.0,si,no,desconocido,5,mayo,714.0,2,-1.0,0,desconocido,no
